"NVariables","Variables","Profit","Accuracy","NumBets","TrainingDataSize","Threshold"
2,"MFTAGt , OddO2.5",406,0.541666666666667,1,"Med",2.9
2,"MFTHGt , MFTAGm",-150,0.4,1,"Med",2.9
2,"MFTHGt , MFTHGm",396,0.740740740740741,1,"Med",2.9
2,"MFTHGt , OddO2.5",-303,0.428571428571429,1,"Med",2.9
2,"MFTAGm , MFTHGm",618,0.621212121212121,1,"Med",2.9
2,"MFTAGm , OddO2.5",315,0.681818181818182,1,"Med",2.9
2,"MFTHGm , OddO2.5",1250,0.69047619047619,1,"Med",2.9
3,"MFTAGt , MFTHGt , MFTAGm",-51,0.545454545454545,1,"Med",2.9
3,"MFTAGt , MFTHGt , MFTHGm",805,0.787878787878788,1,"Med",2.9
3,"MFTAGt , MFTHGt , OddO2.5",-224,0.541666666666667,1,"Med",2.9
3,"MFTAGt , MFTAGm , MFTHGm",15,0.6,1,"Med",2.9
3,"MFTAGt , MFTAGm , OddO2.5",207,0.636363636363636,1,"Med",2.9
3,"MFTAGt , MFTHGm , OddO2.5",876,0.672619047619048,1,"Med",2.9
3,"MFTHGt , MFTAGm , MFTHGm",497,0.666666666666667,1,"Med",2.9
3,"MFTHGt , MFTAGm , OddO2.5",-150,0.4,1,"Med",2.9
