"Threshold","Variables","TrainingDataSize","avgProfit","avgHitRate"
"Max","MFTAGm , MFTHGm","Low",-345,0.504408212560386
"Max","MFTAGm , MFTHGm","Max",5.33333333333332,0.722222222222222
"Max","MFTAGm , MFTHGm","Med",175.666666666667,0.631746031746032
"Max","MFTAGm , MFTHGm","Min",-450.333333333333,0.564377599524658
"Max","MFTAGm , MFTHGm , OddO2.5","Low",-20.3333333333335,0.528944633408919
"Max","MFTAGm , MFTHGm , OddO2.5","Max",143,0.833333333333333
"Max","MFTAGm , MFTHGm , OddO2.5","Med",300.333333333333,0.562481962481962
"Max","MFTAGm , MFTHGm , OddO2.5","Min",-858.666666666667,0.512345775660406
"Max","MFTAGm , OddO2.5","Low",-527,0.449963924963925
"Max","MFTAGm , OddO2.5","Max",120.333333333333,0.777777777777778
"Max","MFTAGm , OddO2.5","Med",98.3333333333333,0.479208754208754
"Max","MFTAGm , OddO2.5","Min",-1113,0.447786221536569
"Max","MFTAGt","Low",-299,0.499025341130604
"Max","MFTAGt","Max",-16,0.472222222222222
"Max","MFTAGt","Med",-211,0.506734006734007
"Max","MFTAGt","Min",-661.333333333333,0.426929392446634
"Max","MFTAGt , MFTAGm","Low",-389.333333333333,0.457664812374957
"Max","MFTAGt , MFTAGm","Max",122.666666666667,0.798611111111111
"Max","MFTAGt , MFTAGm","Med",94.3333333333334,0.525793650793651
"Max","MFTAGt , MFTAGm","Min",-703,0.524126920837447
"Max","MFTAGt , MFTAGm , MFTHGm","Low",-243,0.511076604554865
"Max","MFTAGt , MFTAGm , MFTHGm","Max",21,0.763888888888889
"Max","MFTAGt , MFTAGm , MFTHGm","Med",47,0.592460317460317
"Max","MFTAGt , MFTAGm , MFTHGm","Min",-657,0.563727726346322
"Max","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Low",-63.0000000000001,0.513865268329554
"Max","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Max",104.666666666667,0.763888888888889
"Max","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Med",424,0.574134199134199
"Max","MFTAGt , MFTAGm , MFTHGm , OddO2.5","Min",-703.333333333333,0.519248416212363
"Max","MFTAGt , MFTAGm , OddO2.5","Low",-559.666666666667,0.427116402116402
"Max","MFTAGt , MFTAGm , OddO2.5","Max",183.333333333333,0.777777777777778
"Max","MFTAGt , MFTAGm , OddO2.5","Med",-99,0.425757575757576
"Max","MFTAGt , MFTAGm , OddO2.5","Min",-1319,0.432666932062962
"Max","MFTAGt , MFTHGm","Low",-52.6666666666667,0.587022397891963
"Max","MFTAGt , MFTHGm","Max",24.6666666666667,0.618055555555556
"Max","MFTAGt , MFTHGm","Med",395,0.741208791208791
"Max","MFTAGt , MFTHGm","Min",-322.666666666667,0.563217427733557
